name,order_ID,service_time,order_wt,order_type,delivery_start,delivery_end,address,city,county,lat,lng
NV Mart,59381,24,10901.16,Business,2022-03-17T10:30:00,2022-03-17T17:33:00,"687 Edgeworth Dr, Dallas, Texas, 75217",Dallas,DALLAS COUNTY,32.7016169145,-96.6357657221
NV Mart,73722,34,3952.81,Restaurant,2022-03-17T11:02:00,2022-03-17T17:55:00,"1261 S Main St, Mansfield, Texas, 76063",Mansfield,TARRANT COUNTY,32.543865816,-97.1198945386
NV Mart,93826,73,9712.72,Retailer,2022-03-17T09:41:00,2022-03-17T17:28:00,"1025 Holy Grail Dr, The Colony, Texas, 75056",The Colony,DENTON COUNTY,33.0317908586,-96.8972525824
NV Mart,44171,62,4325.01,Restaurant,2022-03-17T11:02:00,2022-03-17T17:52:00,"2520 N White Chapel Blvd, Southlake, Texas, 76092",Southlake,TARRANT COUNTY,32.9749740022,-97.1530909823
NV Mart,76068,72,4221.65,Retailer,2022-03-17T13:05:00,2022-03-17T17:17:00,"7400 Red River Dr, Plano, Texas, 75025",Plano,COLLIN COUNTY,33.0771032595,-96.7249628979
NV Mart,97421,44,9714.68,Business,2022-03-17T10:49:00,2022-03-17T16:38:00,"2617 Mims St, Fort Worth, Texas, 76112",Fort Worth,TARRANT COUNTY,32.7414601309,-97.2079739241
NV Mart,40723,53,11030.42,Restaurant,2022-03-17T09:50:00,2022-03-17T17:17:00,"8204 US Highway 69 S, Lone Oak, Texas, 75453",Lone Oak,HUNT COUNTY,32.9870024882,-95.9309353257
NV Mart,44973,33,5441.17,Restaurant,2022-03-17T09:58:00,2022-03-17T16:21:00,"5201 Creek Valley Dr, Arlington, Texas, 76018",Arlington,TARRANT COUNTY,32.6603467356,-97.0825420958
NV Mart,54731,74,5084.5,Retailer,2022-03-17T12:00:00,2022-03-17T17:58:00,"100 Eagle Dr, Rio Vista, Texas, 76093",Rio Vista,JOHNSON COUNTY,32.2282929869,-97.3767152137
NV Mart,62601,52,9229.09,Business,2022-03-17T10:08:00,2022-03-17T17:37:00,"1310 Bobbie Ln, Garland, Texas, 75042",Garland,DALLAS COUNTY,32.9250197452,-96.6791988801
NV Mart,88575,72,6051.91,Business,2022-03-17T09:40:00,2022-03-17T16:24:00,"958 Page Ave, Fort Worth, Texas, 76110",Fort Worth,TARRANT COUNTY,32.7165774874,-97.3347219626
NV Mart,73871,57,10394.06,Retailer,2022-03-17T13:09:00,2022-03-17T16:52:00,"8100 Comanche Springs Dr, Fort Worth, Texas, 76131",Fort Worth,TARRANT COUNTY,32.8898333539,-97.3675060167
NV Mart,59791,48,656.49,Retailer,2022-03-17T10:06:00,2022-03-17T17:19:00,"2250 W Scyene Rd, Mesquite, Texas, 75149",Mesquite,DALLAS COUNTY,32.7651942441,-96.6346405151
NV Mart,17253,43,2735.59,Business,2022-03-17T09:21:00,2022-03-17T17:01:00,"1821 Oldgate Ln, Garland, Texas, 75042",Garland,DALLAS COUNTY,32.8966223602,-96.6556280463
NV Mart,14212,20,6027.69,Retailer,2022-03-17T09:02:00,2022-03-17T16:40:00,"12301 Grey Twig Dr, Keller, Texas, 76244",Keller,TARRANT COUNTY,32.9494610396,-97.2914091485
NV Mart,92208,31,11086.47,Business,2022-03-17T09:50:00,2022-03-17T17:04:00,"901 N Britain Rd, Irving, Texas, 75061",Irving,DALLAS COUNTY,32.8230030149,-96.9424574435
