vehicle_id,vehicle_type,vehicle_capacity,max_distance,vehicle_start,vehicle_end,break_start,break_end,lat,lng
1840,Truck,24000,250,2022-03-17T09:30:00,2022-03-17T17:30:00,2022-03-17T12:21:00,2022-03-17T13:06:00,32.75102,-97.0953739
8815,EV Van,8000,350,2022-03-17T10:45:00,2022-03-17T15:30:00,2022-03-17T13:34:00,2022-03-17T14:19:00,,
1834,Truck,24000,250,2022-03-17T09:15:00,2022-03-17T16:45:00,2022-03-17T12:27:00,2022-03-17T13:12:00,,
7824,EV Van,8000,350,2022-03-17T09:00:00,2022-03-17T17:15:00,2022-03-17T11:40:00,2022-03-17T12:25:00,,
7104,EV Van,8000,350,2022-03-17T10:30:00,2022-03-17T17:00:00,2022-03-17T13:38:00,2022-03-17T14:23:00,32.8642021,-97.1059941
7203,Truck,24000,250,2022-03-17T09:15:00,2022-03-17T16:15:00,2022-03-17T12:21:00,2022-03-17T13:06:00,32.8951702,-97.2865307
4552,EV Van,8000,350,2022-03-17T09:30:00,2022-03-17T17:15:00,2022-03-17T11:42:00,2022-03-17T12:27:00,32.8626377,-96.7544177
7714,EV Van,8000,350,2022-03-17T10:00:00,2022-03-17T17:45:00,2022-03-17T12:18:00,2022-03-17T13:03:00,,
7829,EV Van,8000,350,2022-03-17T09:45:00,2022-03-17T15:45:00,2022-03-17T13:01:00,2022-03-17T13:46:00,32.7071571,-97.0211563
7824,EV Van,8000,350,2022-03-17T09:00:00,2022-03-17T17:15:00,2022-03-17T11:40:00,2022-03-17T12:25:00,,
